,Accession Number,Central Index Key (CIK),Name,Standard Industrial Classification (SIC),Country,State,City,Zip Code,Address,Address (Cont.),Phone Number,Filer Status,Well Known Seasoned Issuer,Fiscal Year End Date,Form,Balance Sheet Date,Fiscal Year Focus,Fiscal Period Focus,Date of Filing,Previous Report,Detail,Public Float,Date of Public Float,Gross Profit,Accrual for Environmental Loss Contingencies,Environmental Remediation Expenses,Charitable Contributions,Amount Committed for Funding Social and Infrastructure Improvement Projects
218,0001829126-24-000008,1853774,MOUNTAIN CREST ACQUISITION CORP. IV,6770.0,US,NY,NEW YORK,10036,"311 WEST 43RD STREET, 12TH FLOOR",,646-493-6558,4-NON,0,1231.0,8-K,12312023,,,01022024,0,0,,,,,,,
304,0001140361-24-000248,842183,RPT REALTY,6798.0,US,NY,NEW YORK,10036,19 W 44TH STREET,SUITE 1002,2122211261,1-LAF,0,1231.0,8-K,12312023,,,01032024,0,0,,,,,,,
415,0001493152-24-000339,1528172,"ENDONOVO THERAPEUTICS, INC.",3845.0,US,CA,WOODLAND HILLS,91367,6320 CANOGA AVENUE,15TH FLOOR,(800) 489-4774,4-NON,0,1231.0,8-K,12312023,,,01032024,0,0,,,,,,,
428,0001599916-24-000007,1874138,"SPARX HOLDINGS GROUP, INC.",3585.0,US,RI,CRANSTON,02910,"780 RESERVOIR AVENUE, #123",,401-641-0405,4-NON,0,630.0,8-K/A,12312023,,,01032024,0,0,,,,,,,
486,0000950170-24-001552,1899996,FIDELITY PRIVATE CREDIT CENTRAL FUND LLC,,US,MA,BOSTON,02110,245 SUMMER STREET,,617-563-7000,4-NON,0,1231.0,8-K,12312023,,,01042024,0,0,,,,,,,
539,0001140361-24-000581,1742924,LIVENT CORP.,2800.0,US,PA,PHILADELPHIA,19103,1818 MARKET STREET,,215-299-5900,1-LAF,0,1231.0,8-K,12312023,,,01042024,0,0,,,,,,,
542,0001157523-24-000016,912603,"SCHNITZER STEEL INDUSTRIES, INC.",5090.0,US,OR,PORTLAND,97201,299 SW CLAY ST.,,5032249900,1-LAF,0,831.0,8-K,12312023,,,01042024,0,0,,,,308020000.0,7000000.0,,
589,0001213900-24-001165,731245,PRESIDENTIAL REALTY CORP/DE/,6798.0,US,NY,NEW YORK,10018,1430 BROADWAY,SUITE 503,914-948-1300,4-NON,0,1231.0,8-K,12312023,,,01042024,0,0,,,,,,,
612,0001398344-24-000158,1854370,THIRDLINE REAL ESTATE INCOME FUND,,US,VA,RICHMOND,23230,1310 ROSENEATH ROAD,SUITE 200,8045646810,,0,,424B3,,,,01042024,0,0,,,,,,,
637,0001493152-24-000516,1591890,"FG FINANCIAL GROUP, INC.",6331.0,US,IL,ITASCA,60143,104 S. WALNUT STREET,UNIT 1A,(847)-773-1665,4-NON,0,1231.0,8-K,12312023,,,01042024,0,0,,,,,,,
739,0000950142-24-000046,897429,"CHICO'S FAS, INC.",5621.0,US,FL,FT MYERS,33966-1206,11215 METRO PKWY,,2392776200,2-ACC,0,131.0,8-K,12312023,,,01052024,0,0,,,,,,,
781,0001104659-24-001703,30371,"DUKE ENERGY CAROLINAS, LLC",4911.0,US,NC,CHARLOTTE,28202,525 SOUTH TRYON STREET,,800-488-3853,,0,1231.0,8-K,12312023,,,01052024,0,0,,,,,,,
795,0001104659-24-001828,1837412,"SOMALOGIC, INC.",8731.0,US,CO,BOULDER,80301,"C/O SOMALOGIC, INC.",2945 WILDERNESS PLACE,(303) 625-9000,4-NON,0,1231.0,8-K,12312023,,,01052024,0,0,,,,,,,
812,0001140361-24-000842,1031029,"STARTEK, INC.",7363.0,US,CO,DENVER,80237,4610 SOUTH ULSTER STREET,SUITE 150,303-262-4500,4-NON,0,1231.0,8-K,12312023,,,01052024,0,0,,,,,,,
863,0001193125-24-003408,1195737,NUVEEN AMT-FREE QUALITY MUNICIPAL INCOME FUND,,US,IL,CHICAGO,60606,"NUVEEN INVESTMENTS, INC.",333 WEST WACKER DRIVE,3129178146,,0,1031.0,N-CSR,10312023,,,01052024,0,0,,,,,,,
864,0001193125-24-003411,1090116,NUVEEN AMT-FREE MUNICIPAL CREDIT INCOME FUND,,US,IL,CHICAGO,60606,333 WEST WACKER DRIVE,,3129178146,,0,1031.0,N-CSR,10312023,,,01052024,0,0,,,,,,,
884,0001213900-24-001305,1213660,BIMI INTERNATIONAL MEDICAL INC.,5122.0,US,NY,NEW YORK,NEW YORK,"725 5TH AVENUE, 15TH FLOOR, 15-01",,212-542-0028,4-NON,0,1231.0,8-K,12312023,,,01052024,0,0,,,,,,,
896,0001213900-24-001529,1669400,"VERITAS FARMS, INC.",100.0,US,FL,DANIA BEACH,33004,1815 GRIFFIN ROAD,SUITE 401,(833)691-4367,4-NON,0,1231.0,8-K,12312023,,,01052024,0,0,,,,,,,
923,0001398344-24-000200,845379,CHINA FUND INC,,US,MA,BOSTON,02110,50 POST OFFICE SQUARE,,617 772 1616,,0,1031.0,N-CSR,10312023,,,01052024,0,0,,,,,,,
986,0001580642-24-000115,1984165,CAZ STRATEGIC OPPORTUNITIES FUND,,US,TX,HOUSTON,77056,"ONE RIVERWAY, SUITE 2000",,713.403.8250,,0,1231.0,N-2/A,,,,01052024,0,0,,,,,,,
1030,0001999371-24-000149,316762,TRIDAN CORP,,US,NY,NEW YORK,10022,477 MADISON AVE,9TH FL,2123712100,,0,430.0,N-CSRS,10312023,,,01052024,0,0,,,,,,,
1155,0001104659-24-002209,876717,"ABRDN GLOBAL INCOME FUND, INC.",,US,PA,PHILADELPHIA,19103,1900 MARKET STREET,SUITE 200,215-405-5700,,0,1031.0,N-CSR,10312023,,,01082024,0,0,,,,,,,
1308,0001214659-24-000421,1293310,"HUMANIGEN, INC",2834.0,US,NJ,SHORT HILLS,07078,830 MORRIS TURNPIKE,4TH FLOOR,(973) 200-3100,4-NON,0,1231.0,8-K,12312023,,,01082024,0,0,,,,,,,
1582,0001193125-24-005190,1599617,NOW INC.,3533.0,US,TX,HOUSTON,77041,7402 NORTH ELDRIDGE PARKWAY,,281-823-4700,1-LAF,0,1231.0,8-K,12312023,,,01092024,0,0,,,,,,,
1706,0001635650-24-000003,1635650,GREEN PLAINS PARTNERS LP,2860.0,US,NE,OMAHA,68106,1811 AKSARBEN DRIVE,,(402) 884-8700,2-ACC,0,1231.0,8-K,12312023,,,01092024,0,0,,,,,,,
1797,0001140361-24-001758,1790625,"AGILETHOUGHT, INC.",8742.0,US,TX,IRVING,75039,"222 W. LAS COLINAS BLVD, SUITE 1650E",,971-501-1440,2-ACC,0,1231.0,8-K,12312023,,,01102024,0,0,,,,,,,
1812,0001193125-24-005743,1804299,LIFEX INCOME TRUST 1948F,,US,NY,NEW YORK,10017,ONE VANDERBILT AVENUE,65TH FL.,212-257-4750,,0,1231.0,424B3,,,,01102024,0,0,,,,,,,
2081,0001477932-24-000119,1828613,STEM CELL INC.,6795.0,US,NV,HENDERSON,89074,"701 NORTH GREEN VALLEY PKWY, SUITE 200",,702-354-8751,4-NON,0,1231.0,8-K,11302023,,,01112024,0,0,,,,,,,
2083,0001477932-24-000134,1468978,"SOUTHERN ITS INTERNATIONAL, INC.",7372.0,US,CA,PALM DESERT,92211,42215 WASHINGTON STREET,SUITE A-345,442-300-6522,4-NON,0,1231.0,10-Q,09302016,2016.0,Q3,01112024,0,1,,,584032.0,,,,
2103,0001493152-24-002082,1753945,"OPTI-HARVEST, INC.",3523.0,US,CA,LOS ANGELES,90067,"1801 CENTURY PARK EAST, SUITE 520",,(310) 788-0200,4-NON,0,1231.0,S-1/A,09302023,,,01112024,0,1,,,-566000.0,,,,
